国家,国家英文,获奖选手,大项项目,小项项目,奖牌类型,获奖时间
加拿大,Canada(CAN),史蒂文·杜博伊斯,短道速滑,男子500米,铜牌,02-13
加拿大,Canada(CAN),史蒂文·杜博伊斯,短道速滑,男子1500米,银牌,02-09
加拿大,Canada(CAN),金·布廷,短道速滑,女子500米,铜牌,02-07
加拿大,Canada(CAN),贾斯廷·克里普斯/瑞安·萨默/卡姆·斯通斯/本杰明·科克韦尔,雪车,四人雪车,铜牌,02-20
加拿大,Canada(CAN),克里斯蒂娜·德布鲁因,雪车,女子单人,铜牌,02-14
加拿大,Canada(CAN),加拿大女子冰球队,冰球,女子冰球,金牌,02-17
加拿大,Canada(CAN),加拿大男子冰壶队,冰壶,男子冰壶,铜牌,02-18
加拿大,Canada(CAN),詹姆斯·克劳福德,高山滑雪,男子全能,铜牌,02-10
加拿大,Canada(CAN),亚历山德里娅·洛蒂特/马修·绍库普/阿比盖尔·斯特拉特/麦肯齐·博伊德-克洛斯,跳台滑雪,混合团体,铜牌,02-07
日本,Japan(JPN),高木美帆,速度滑冰,女子1000米,金牌,02-17
日本,Japan(JPN),佐藤绫乃/高木美帆/高木菜那,速度滑冰,女子团体追逐,银牌,02-15
日本,Japan(JPN),高木美帆,速度滑冰,女子500米,银牌,02-13
